task_name,congruent,incongruent
ageiat,"Old people/Bad,Young people/Good","Young people/Bad,Old people/Good"
arabiat,"Arab Muslims/Bad,Other People/Good","Other People/Bad,Arab Muslims/Good"
asianiat,"Asian American/Foreign,European American/American","European American/Foreign,Asian American/American"
careeriat,"Career/Male,Family/Female","Family/Male,Career/Female"
scienceiat,"Science/Male,Liberal Arts/Female","Liberal Arts/Male,Science/Female"
nativeamiat,"Native American/Foreign,White American/American","White American/Foreign,Native American/American"
presidentiat,"Donald Trump/Bad,Abraham Lincoln/Good","Abraham Lincoln/Bad,Donald Trump/Good"
presidentiat,"Donald Trump/Bad,Recent Presidents/Good","Recent Presidents/Bad,Donald Trump/Good"
presidentiat,"Donald Trump/Bad,Richard Nixon/Good","Richard Nixon/Bad,Donald Trump/Good"
presidentiat,"Donald Trump/Bad,John F. Kennedy/Good","John F. Kennedy/Bad,Donald Trump/Good"
presidentiat,"Donald Trump/Bad,Barack Obama/Good","Barack Obama/Bad,Donald Trump/Good"
presidentiat,"Donald Trump/Bad,George W. Bush/Good","George W. Bush/Bad,Donald Trump/Good"
presidentiat,"Donald Trump/Bad,Bill Clinton/Good","Bill Clinton/Bad,Donald Trump/Good"
presidentiat,"Donald Trump/Bad,Ronald Reagan/Good","Ronald Reagan/Bad,Donald Trump/Good"
presidentiat,"Donald Trump/Bad,Franklin D. Roosevelt/Good","Franklin D. Roosevelt/Bad,Donald Trump/Good"
presidentiat,"Donald Trump/Bad,Thomas Jefferson/Good","Thomas Jefferson/Bad,Donald Trump/Good"
religioniat,"Judaism/Bad,Christianity/Good","Christianity/Bad,Judaism/Good"
religioniat,"Islam/Bad,Christianity/Good","Christianity/Bad,Islam/Good"
religioniat,"Islam/Bad,Judaism/Good","Judaism/Bad,Islam/Good"
sexualityiat,"Straight people/Good,Gay people/Bad","Gay people/Good,Straight people/Bad"
skiniat,"Dark Skinned People/Bad,Light Skinned People/Good","Light Skinned People/Bad,Dark Skinned People/Good"
transiat,"Transgender People/Bad words,Cisgender People/Good words","Cisgender People/Bad words,Transgender People/Good words"
weaponsiat,"White Americans/Harmless Objects,Black Americans/Weapons","Black Americans/Harmless Objects,White Americans/Weapons"
weightiat,"Fat people/Bad words,Thin people/Good words","Thin people/Bad words,Fat people/Good words"
disabilityiat,"Disabled Persons /Bad,Abled Persons/Good","Abled Persons/Bad,Disabled Persons /Good"
raceiat,"African Americans/Bad,European Americans/Good","European Americans/Bad,African Americans/Good"
raceiat,"Black people/Bad,White people/Good","White people/Bad,Black people/Good"
