IAT,Compressed,Raw,Year,Notes
Age,https://osf.io/h2ujt,https://osf.io/64rcn,2020,
Arab,https://osf.io/2j38r,https://osf.io/hjd7e,2020,
Asian-American,https://osf.io/uxnzj,https://osf.io/uqd7x,2020,
Disability,https://osf.io/u968p,https://osf.io/athqb,2020,
Gender-Career,https://osf.io/rhev7,https://osf.io/69kzf,2019,
Gender-Career,https://osf.io/bfjrt,https://osf.io/ud65e,2020,
Gender-Science,https://osf.io/9gvmw,https://osf.io/mq4v8,2020,
Native-American,https://osf.io/4vdxz,https://osf.io/mr5ec,2020,Combined data from 2020 - 2021
President,https://osf.io/e3d8v,https://osf.io/uea76,2020,
Race,https://osf.io/gzvx6,https://osf.io/wcq9y,2020,
Religion,https://osf.io/fcb7y,https://osf.io/sb4ew,2020,
Sexuality,https://osf.io/ztg2j,https://osf.io/6rek3,2020,
Skin-Tone,https://osf.io/rpnx6,https://osf.io/ycznk,2020,
Transgender,https://osf.io/fubmw,https://osf.io/m6auc,2020,
Weapons,https://osf.io/f6y7r,https://osf.io/4gtc2,2020,
Weight,https://osf.io/pv8ge,https://osf.io/6kcnb,2020,
